,Title,Video ID,Published At,Keyword,Likes,Comments,Views
0,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,wAZZ-UWGVHI,08/23/2022,tech,3407,672,135612
1,The most EXPENSIVE thing I own.,b3x28s61q3c,08/24/2022,tech,76779,4306,1758063
2,My New House Gaming Setup is SICK!,4mgePWWCAmA,08/23/2022,tech,63825,3338,1564007
3,Petrol Vs Liquid Nitrogen | Freezing Experiment | പെട്രോളിനെ ഐസ് ആകാൻ പറ്റുമോ | M4 Tech |,kXiYSI7H2b0,08/23/2022,tech,71566,1426,922918
4,Best Back to School Tech 2022!,ErMwWXQxHp0,08/08/2022,tech,96513,5155,1855644
5,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,18fwz9Itbvo,11/05/2021,tech,33570,1643,943119
6,Tech Monopolies: Last Week Tonight with John Oliver (HBO),jXf04bhcjbg,06/13/2022,tech,135047,9367,5937790
7,I bought the STRANGEST TECH on the Internet.,2TqOmtTAMRY,08/07/2022,tech,216935,12605,4782514
8,15 Emerging Technologies that Will Change the World,wLlL46pYcg4,12/08/2021,tech,45565,2882,7001236
9,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,R7qsau3X6Ks,07/14/2022,tech,24252,1068,667767
10,Dope Tech: The Most Extreme Gaming Monitor!,MEiq0oCUb_8,08/15/2022,tech,118001,4123,2359142
11,Cool Tech Under $50 - August!,pT_9hntWj34,08/06/2022,tech,20999,3091,413179
12,Cool Back to School Tech 2022 🔥 (Under $100),cj4lxmHQV0o,08/13/2022,tech,15322,547,389114
13,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,d-BdIo8_wpA,12/15/2021,tech,17866,157,444953
14,My Massive Tech Unboxing 47.0!,eFhhW6fsAbQ,07/09/2022,tech,13217,442,371563
15,Why Millennials Are Leaving Six-Figure Tech Jobs,N88OE2ZCHBM,06/04/2021,tech,26890,4999,1633059
16,10 Coolest Gadgets and Inventions That Will Blow Your Mind,PKATJiyz0iI,08/13/2021,tech,9562,199,760249
17,17 Coolest Gadgets You Can Actually Buy,qiMnSaZWf3M,07/21/2022,tech,11743,143,1086568
18,Almost EVERYONE is Wasting Money on Dash Cams.,4AnyhHl3_tE,08/14/2022,tech,146978,11105,3186890
19,I bought the THINNEST Tech in the world.,nmY2kgWYwyQ,03/25/2022,tech,363771,13609,11422924
20,iPhone 14 Lineup is NOT what you Expected.. (plot twist),HMqyLcNmsec,08/24/2022,tech,2117,486,63650
21,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,Q2ysbTVlPdk,05/12/2022,tech,42841,1357,1280387
22,Cool Tech Under $50 - July!,zI8KQq5zmyM,07/02/2022,tech,23689,2842,530889
